Simulated At,Bias,Confidence,Regime,Scenario,Outcome,Move %,MFE %,MAE %
2025-12-14T11:29:00.000Z,WAIT,2.70,unclear,,NOISE,,,
2025-12-14T12:29:00.000Z,WAIT,2.90,range,,NOISE,,,
2025-12-14T13:29:00.000Z,WAIT,2.80,range,,NOISE,,,
2025-12-14T14:29:00.000Z,WAIT,2.70,range,,NOISE,,,
2025-12-14T15:29:00.000Z,WAIT,3.10,range,,CONTINUATION,,,
2025-12-14T16:29:00.000Z,WAIT,3.30,unclear,,CONTINUATION,,,
2025-12-14T17:29:00.000Z,WAIT,2.70,unclear,,CONTINUATION,,,
2025-12-14T18:29:00.000Z,WAIT,3.10,unclear,,CONTINUATION,,,
2025-12-14T19:29:00.000Z,WAIT,3.40,unclear,,CONTINUATION,,,
2025-12-14T20:29:00.000Z,WAIT,3.10,unclear,,NOISE,,,
2025-12-14T21:29:00.000Z,WAIT,3.00,unclear,,NOISE,,,
2025-12-14T22:29:00.000Z,WAIT,3.00,unclear,,NOISE,,,
2025-12-14T23:29:00.000Z,WAIT,3.10,unclear,,NOISE,,,
2025-12-15T00:29:00.000Z,SHORT,4.00,distribution,,CONTINUATION,,4.67,0.82
2025-12-15T01:29:00.000Z,SHORT,5.00,distribution,,CONTINUATION,,4.67,0.82
2025-12-15T02:29:00.000Z,SHORT,3.40,distribution,,CONTINUATION,,4.67,0.78
2025-12-15T03:29:00.000Z,SHORT,2.30,distribution,,CONTINUATION,,4.67,0.78
2025-12-15T04:29:00.000Z,WAIT,1.40,range,,CONTINUATION,,,
2025-12-15T05:29:00.000Z,WAIT,1.90,range,,CONTINUATION,,,
2025-12-15T06:29:00.000Z,WAIT,1.90,range,,CONTINUATION,,,
